artist,views,num_videos,avg_views
Rich Brian,348310320,32,10884697.5
Joji,340039646,30,11334654.866666667
Higher Brothers,112100826,54,2075941.2222222222
Keith Ape,98779224,15,6585281.6
RONNYJ,39417978,2,19708989.0
XXXTentacion,37570084,1,37570084.0
AUGUST 08,37038706,11,3367155.090909091
88RISING,35131201,3,11710400.333333334
Ski Mask The Slump God,34260727,3,11420242.333333334
NIKI,24983138,17,1469596.3529411764
Clams Casino,23754803,1,23754803.0
Famous Dex,17525486,2,8762743.0
Richie Souf,16746025,2,8373012.5
21 Savage,16664957,2,8332478.5
Young Thug,14562284,1,14562284.0
Rich The Kid,14562284,1,14562284.0
Diplo,14562284,1,14562284.0
Pouya,14240418,1,14240418.0
Ghostface Killah,14240418,1,14240418.0
Okasian,13564287,5,2712857.4
Yaeji,10283929,5,2056785.8
ZHU.,10068325,1,10068325.0
THEY.,10068325,1,10068325.0
SKRILLEX,10068325,1,10068325.0
Ski Mask the Slump God,8648562,5,1729712.4
Bryan Cha$e,8535106,3,2845035.3333333335
Lexie Liu,8369854,10,836985.4
Trippie Redd,8025834,2,4012917.0
BlocBoy JB,6419642,3,2139880.6666666665
Offset,4305048,1,4305048.0
J. MAG,4176946,2,2088473.0
Jedi P,3948920,1,3948920.0
K$upreme,3875475,1,3875475.0
Phum Viphurit,3005883,1,3005883.0
Denzel Curry,2738705,2,1369352.5
HYUKOH (혁오),2322686,1,2322686.0
Charlie Heat,2254186,1,2254186.0
KOHH,2171372,2,1085686.0
Ski Mask The SlumpGod,1847894,1,1847894.0
HARIKIRI,1771621,5,354324.2
D33J,1722563,1,1722563.0
Shlohmo,1722563,1,1722563.0
Bohan Phoenix,1523746,3,507915.3333333333
Falcons,1507590,2,753795.0
Verbal,1429014,1,1429014.0
The Kinjaz,1391545,2,695772.5
Jay Park,1266232,2,633116.0
MaSiWei,1237310,1,1237310.0
Diablo,1004495,1,1004495.0
Dua Lipa,1004495,1,1004495.0
Dumbfoundead,885768,3,295256.0
Don Krez,834963,2,417481.5
Brian Puspos,723755,5,144751.0
Yung Gleesh,692515,1,692515.0
Uno the Activist,692515,1,692515.0
josh pan,657211,4,164302.75
KILLY,609117,2,304558.5
Yung Pinch,608617,1,608617.0
Yung Bans,608617,1,608617.0
Ken Rebel,543821,1,543821.0
Soulja Boy,537617,2,268808.5
Channel Tres,535111,1,535111.0
Goldlink,523713,2,261856.5
ScHoolboy Q,464497,2,232248.5
03 Greedo,450283,1,450283.0
iLL Chris,436692,1,436692.0
Robb Banks,436692,1,436692.0
Sen Morimoto,431476,4,107869.0
NESSLY,427737,1,427737.0
Wifisfuneral,401331,1,401331.0
Smino,380307,2,190153.5
J.I.D,378912,1,378912.0
Southside,330820,1,330820.0
Playboi Carti,330820,1,330820.0
Murda Beatz,330820,1,330820.0
Rina Sawayama,315826,2,157913.0
Towkio,312954,1,312954.0
Vic Mensa,312954,1,312954.0
Simon D,308501,1,308501.0
G2,308501,1,308501.0
Suboi,281909,1,281909.0
lilcobaine,249020,1,249020.0
Maaly Raw,248895,1,248895.0
bbno$,236685,1,236685.0
ICYTWAT,218976,2,109488.0
WYNNE,205677,2,102838.5
KiD TRUNKS.,185420,1,185420.0
YUNG BAE,141466,1,141466.0
$ILKMONEY,128374,1,128374.0
Bengfang,127038,1,127038.0
Guapdad 4000,115286,1,115286.0
Dbo,113783,1,113783.0
Tatsuro Yamashita,99702,1,99702.0
Shigeo Sekito,87914,1,87914.0
MYRNE,87366,2,43683.0
Jess Connelly,80116,1,80116.0
YURUFUWA GANG,74924,1,74924.0
Japanese Breakfast,72608,1,72608.0
Giraffage,72608,1,72608.0
Eric Nam,72159,1,72159.0
AObeats,72159,1,72159.0
Yeseo,61836,1,61836.0
YENTOWN,51773,1,51773.0
BAAUER,51773,1,51773.0
Horim,51433,1,51433.0
CIFIKA,48760,1,48760.0
Gentle Bones,47072,1,47072.0
Swings,45640,1,45640.0
DMEANOR,45640,1,45640.0
JAHKOY,45640,1,45640.0
Ikkubaru,44494,1,44494.0
Rainbow Chan,43607,1,43607.0
KID FRESINO,42673,1,42673.0
jjj,42673,1,42673.0
X&G,36641,1,36641.0
Yllis,36013,1,36013.0
Tanukichan,31975,1,31975.0
Starro,31168,1,31168.0
Bosco,31168,1,31168.0
KiWi,21252,1,21252.0
Guzz,20436,1,20436.0
