"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1400000US06075010100","Census Tract 101, San Francisco County, California","1544","142"
"1400000US06075010200","Census Tract 102, San Francisco County, California","2,000+","***"
"1400000US06075010300","Census Tract 103, San Francisco County, California","2,000+","***"
"1400000US06075010400","Census Tract 104, San Francisco County, California","2,000+","***"
"1400000US06075010500","Census Tract 105, San Francisco County, California","2,000+","***"
"1400000US06075010600","Census Tract 106, San Francisco County, California","981","210"
"1400000US06075010700","Census Tract 107, San Francisco County, California","570","42"
"1400000US06075010800","Census Tract 108, San Francisco County, California","1458","124"
"1400000US06075010900","Census Tract 109, San Francisco County, California","1849","145"
"1400000US06075011000","Census Tract 110, San Francisco County, California","1511","202"
"1400000US06075011100","Census Tract 111, San Francisco County, California","1428","137"
"1400000US06075011200","Census Tract 112, San Francisco County, California","1476","133"
"1400000US06075011300","Census Tract 113, San Francisco County, California","778","124"
"1400000US06075011700","Census Tract 117, San Francisco County, California","1028","236"
"1400000US06075011800","Census Tract 118, San Francisco County, California","624","62"
"1400000US06075011901","Census Tract 119.01, San Francisco County, California","1509","212"
"1400000US06075011902","Census Tract 119.02, San Francisco County, California","1409","79"
"1400000US06075012000","Census Tract 120, San Francisco County, California","1116","64"
"1400000US06075012100","Census Tract 121, San Francisco County, California","1367","95"
"1400000US06075012201","Census Tract 122.01, San Francisco County, California","1279","73"
"1400000US06075012202","Census Tract 122.02, San Francisco County, California","900","95"
"1400000US06075012301","Census Tract 123.01, San Francisco County, California","599","297"
"1400000US06075012302","Census Tract 123.02, San Francisco County, California","1245","101"
"1400000US06075012401","Census Tract 124.01, San Francisco County, California","798","70"
"1400000US06075012402","Census Tract 124.02, San Francisco County, California","1058","158"
"1400000US06075012501","Census Tract 125.01, San Francisco County, California","539","93"
"1400000US06075012502","Census Tract 125.02, San Francisco County, California","444","173"
"1400000US06075012601","Census Tract 126.01, San Francisco County, California","1871","104"
"1400000US06075012602","Census Tract 126.02, San Francisco County, California","2,000+","***"
"1400000US06075012700","Census Tract 127, San Francisco County, California","1939","176"
"1400000US06075012800","Census Tract 128, San Francisco County, California","1957","237"
"1400000US06075012901","Census Tract 129.01, San Francisco County, California","1903","170"
"1400000US06075012902","Census Tract 129.02, San Francisco County, California","1708","95"
"1400000US06075013000","Census Tract 130, San Francisco County, California","1921","158"
"1400000US06075013101","Census Tract 131.01, San Francisco County, California","2,000+","***"
"1400000US06075013102","Census Tract 131.02, San Francisco County, California","2,000+","***"
"1400000US06075013200","Census Tract 132, San Francisco County, California","2,000+","***"
"1400000US06075013300","Census Tract 133, San Francisco County, California","2,000+","***"
"1400000US06075013400","Census Tract 134, San Francisco County, California","1990","164"
"1400000US06075013500","Census Tract 135, San Francisco County, California","1688","133"
"1400000US06075015100","Census Tract 151, San Francisco County, California","1847","131"
"1400000US06075015200","Census Tract 152, San Francisco County, California","1519","131"
"1400000US06075015300","Census Tract 153, San Francisco County, California","1787","232"
"1400000US06075015400","Census Tract 154, San Francisco County, California","1850","171"
"1400000US06075015500","Census Tract 155, San Francisco County, California","1396","375"
"1400000US06075015600","Census Tract 156, San Francisco County, California","1543","144"
"1400000US06075015700","Census Tract 157, San Francisco County, California","1708","145"
"1400000US06075015801","Census Tract 158.01, San Francisco County, California","1151","188"
"1400000US06075015802","Census Tract 158.02, San Francisco County, California","1414","202"
"1400000US06075015900","Census Tract 159, San Francisco County, California","1610","205"
"1400000US06075016000","Census Tract 160, San Francisco County, California","1327","175"
"1400000US06075016100","Census Tract 161, San Francisco County, California","608","285"
"1400000US06075016200","Census Tract 162, San Francisco County, California","1309","87"
"1400000US06075016300","Census Tract 163, San Francisco County, California","1604","174"
"1400000US06075016400","Census Tract 164, San Francisco County, California","1773","80"
"1400000US06075016500","Census Tract 165, San Francisco County, California","1556","179"
"1400000US06075016600","Census Tract 166, San Francisco County, California","1834","182"
"1400000US06075016700","Census Tract 167, San Francisco County, California","1829","85"
"1400000US06075016801","Census Tract 168.01, San Francisco County, California","1686","146"
"1400000US06075016802","Census Tract 168.02, San Francisco County, California","1279","130"
"1400000US06075016900","Census Tract 169, San Francisco County, California","1558","167"
"1400000US06075017000","Census Tract 170, San Francisco County, California","2,000+","***"
"1400000US06075017101","Census Tract 171.01, San Francisco County, California","1890","85"
"1400000US06075017102","Census Tract 171.02, San Francisco County, California","1901","215"
"1400000US06075017601","Census Tract 176.01, San Francisco County, California","738","96"
"1400000US06075017700","Census Tract 177, San Francisco County, California","1544","179"
"1400000US06075017801","Census Tract 178.01, San Francisco County, California","294","10"
"1400000US06075017802","Census Tract 178.02, San Francisco County, California","1088","252"
"1400000US06075017902","Census Tract 179.02, San Francisco County, California","1647","285"
"1400000US06075018000","Census Tract 180, San Francisco County, California","2,000+","***"
"1400000US06075020100","Census Tract 201, San Francisco County, California","860","125"
"1400000US06075020200","Census Tract 202, San Francisco County, California","1407","131"
"1400000US06075020300","Census Tract 203, San Francisco County, California","1701","135"
"1400000US06075020401","Census Tract 204.01, San Francisco County, California","2,000+","***"
"1400000US06075020402","Census Tract 204.02, San Francisco County, California","1843","118"
"1400000US06075020500","Census Tract 205, San Francisco County, California","1712","140"
"1400000US06075020600","Census Tract 206, San Francisco County, California","1767","251"
"1400000US06075020700","Census Tract 207, San Francisco County, California","1782","229"
"1400000US06075020800","Census Tract 208, San Francisco County, California","1138","107"
"1400000US06075020900","Census Tract 209, San Francisco County, California","1200","58"
"1400000US06075021000","Census Tract 210, San Francisco County, California","1736","133"
"1400000US06075021100","Census Tract 211, San Francisco County, California","2,000+","***"
"1400000US06075021200","Census Tract 212, San Francisco County, California","1952","179"
"1400000US06075021300","Census Tract 213, San Francisco County, California","1732","182"
"1400000US06075021400","Census Tract 214, San Francisco County, California","1987","155"
"1400000US06075021500","Census Tract 215, San Francisco County, California","1488","207"
"1400000US06075021600","Census Tract 216, San Francisco County, California","2,000+","***"
"1400000US06075021700","Census Tract 217, San Francisco County, California","1335","359"
"1400000US06075021800","Census Tract 218, San Francisco County, California","2,000+","***"
"1400000US06075022600","Census Tract 226, San Francisco County, California","2,000+","***"
"1400000US06075022702","Census Tract 227.02, San Francisco County, California","2,000+","***"
"1400000US06075022704","Census Tract 227.04, San Francisco County, California","2,000+","***"
"1400000US06075022801","Census Tract 228.01, San Francisco County, California","1806","320"
"1400000US06075022802","Census Tract 228.02, San Francisco County, California","1241","120"
"1400000US06075022803","Census Tract 228.03, San Francisco County, California","1442","103"
"1400000US06075022901","Census Tract 229.01, San Francisco County, California","1545","265"
"1400000US06075022902","Census Tract 229.02, San Francisco County, California","1470","189"
"1400000US06075022903","Census Tract 229.03, San Francisco County, California","1605","155"
"1400000US06075023001","Census Tract 230.01, San Francisco County, California","1177","425"
"1400000US06075023003","Census Tract 230.03, San Francisco County, California","1724","507"
"1400000US06075023102","Census Tract 231.02, San Francisco County, California","707","217"
"1400000US06075023103","Census Tract 231.03, San Francisco County, California","427","130"
"1400000US06075023200","Census Tract 232, San Francisco County, California","1179","344"
"1400000US06075023300","Census Tract 233, San Francisco County, California","886","277"
"1400000US06075023400","Census Tract 234, San Francisco County, California","673","355"
"1400000US06075025100","Census Tract 251, San Francisco County, California","1735","486"
"1400000US06075025200","Census Tract 252, San Francisco County, California","1709","268"
"1400000US06075025300","Census Tract 253, San Francisco County, California","1578","238"
"1400000US06075025401","Census Tract 254.01, San Francisco County, California","1216","221"
"1400000US06075025402","Census Tract 254.02, San Francisco County, California","1411","386"
"1400000US06075025403","Census Tract 254.03, San Francisco County, California","1396","319"
"1400000US06075025500","Census Tract 255, San Francisco County, California","1778","514"
"1400000US06075025600","Census Tract 256, San Francisco County, California","1234","934"
"1400000US06075025701","Census Tract 257.01, San Francisco County, California","1444","546"
"1400000US06075025702","Census Tract 257.02, San Francisco County, California","1444","399"
"1400000US06075025800","Census Tract 258, San Francisco County, California","1148","117"
"1400000US06075025900","Census Tract 259, San Francisco County, California","1874","237"
"1400000US06075026001","Census Tract 260.01, San Francisco County, California","1351","124"
"1400000US06075026002","Census Tract 260.02, San Francisco County, California","1608","217"
"1400000US06075026003","Census Tract 260.03, San Francisco County, California","1642","233"
"1400000US06075026004","Census Tract 260.04, San Francisco County, California","1412","174"
"1400000US06075026100","Census Tract 261, San Francisco County, California","1342","76"
"1400000US06075026200","Census Tract 262, San Francisco County, California","1358","305"
"1400000US06075026301","Census Tract 263.01, San Francisco County, California","1393","261"
"1400000US06075026302","Census Tract 263.02, San Francisco County, California","1486","177"
"1400000US06075026303","Census Tract 263.03, San Francisco County, California","1514","298"
"1400000US06075026401","Census Tract 264.01, San Francisco County, California","944","188"
"1400000US06075026402","Census Tract 264.02, San Francisco County, California","1628","150"
"1400000US06075026403","Census Tract 264.03, San Francisco County, California","1241","409"
"1400000US06075026404","Census Tract 264.04, San Francisco County, California","1077","246"
"1400000US06075030101","Census Tract 301.01, San Francisco County, California","1669","158"
"1400000US06075030102","Census Tract 301.02, San Francisco County, California","1938","155"
"1400000US06075030201","Census Tract 302.01, San Francisco County, California","1695","68"
"1400000US06075030202","Census Tract 302.02, San Francisco County, California","1739","130"
"1400000US06075030301","Census Tract 303.01, San Francisco County, California","1748","144"
"1400000US06075030302","Census Tract 303.02, San Francisco County, California","1539","721"
"1400000US06075030400","Census Tract 304, San Francisco County, California","1469","150"
"1400000US06075030500","Census Tract 305, San Francisco County, California","1477","1594"
"1400000US06075030600","Census Tract 306, San Francisco County, California","2,000+","***"
"1400000US06075030700","Census Tract 307, San Francisco County, California","2,000+","***"
"1400000US06075030800","Census Tract 308, San Francisco County, California","1868","601"
"1400000US06075030900","Census Tract 309, San Francisco County, California","2,000+","***"
"1400000US06075031000","Census Tract 310, San Francisco County, California","2,000+","***"
"1400000US06075031100","Census Tract 311, San Francisco County, California","2,000+","***"
"1400000US06075031201","Census Tract 312.01, San Francisco County, California","1637","245"
"1400000US06075031202","Census Tract 312.02, San Francisco County, California","1719","115"
"1400000US06075031301","Census Tract 313.01, San Francisco County, California","1466","743"
"1400000US06075031302","Census Tract 313.02, San Francisco County, California","1920","181"
"1400000US06075031400","Census Tract 314, San Francisco County, California","1017","208"
"1400000US06075032601","Census Tract 326.01, San Francisco County, California","1623","141"
"1400000US06075032602","Census Tract 326.02, San Francisco County, California","1955","196"
"1400000US06075032700","Census Tract 327, San Francisco County, California","1634","237"
"1400000US06075032801","Census Tract 328.01, San Francisco County, California","1472","245"
"1400000US06075032802","Census Tract 328.02, San Francisco County, California","1822","243"
"1400000US06075032901","Census Tract 329.01, San Francisco County, California","1750","558"
"1400000US06075032902","Census Tract 329.02, San Francisco County, California","1886","634"
"1400000US06075033000","Census Tract 330, San Francisco County, California","1841","480"
"1400000US06075033100","Census Tract 331, San Francisco County, California","2,000+","***"
"1400000US06075033201","Census Tract 332.01, San Francisco County, California","1715","78"
"1400000US06075033203","Census Tract 332.03, San Francisco County, California","1984","149"
"1400000US06075033204","Census Tract 332.04, San Francisco County, California","1818","128"
"1400000US06075035100","Census Tract 351, San Francisco County, California","1777","180"
"1400000US06075035201","Census Tract 352.01, San Francisco County, California","1618","210"
"1400000US06075035202","Census Tract 352.02, San Francisco County, California","1545","151"
"1400000US06075035300","Census Tract 353, San Francisco County, California","1615","317"
"1400000US06075035400","Census Tract 354, San Francisco County, California","1464","294"
"1400000US06075040100","Census Tract 401, San Francisco County, California","1516","227"
"1400000US06075040200","Census Tract 402, San Francisco County, California","1473","215"
"1400000US06075042601","Census Tract 426.01, San Francisco County, California","1490","153"
"1400000US06075042602","Census Tract 426.02, San Francisco County, California","1739","153"
"1400000US06075042700","Census Tract 427, San Francisco County, California","1458","110"
"1400000US06075042800","Census Tract 428, San Francisco County, California","1965","263"
"1400000US06075045100","Census Tract 451, San Francisco County, California","1668","197"
"1400000US06075045200","Census Tract 452, San Francisco County, California","1607","127"
"1400000US06075047600","Census Tract 476, San Francisco County, California","1713","184"
"1400000US06075047701","Census Tract 477.01, San Francisco County, California","1413","135"
"1400000US06075047702","Census Tract 477.02, San Francisco County, California","1558","179"
"1400000US06075047801","Census Tract 478.01, San Francisco County, California","1717","127"
"1400000US06075047802","Census Tract 478.02, San Francisco County, California","1497","145"
"1400000US06075047901","Census Tract 479.01, San Francisco County, California","1359","111"
"1400000US06075047902","Census Tract 479.02, San Francisco County, California","1692","86"
"1400000US06075060100","Census Tract 601, San Francisco County, California","2,000+","***"
"1400000US06075060400","Census Tract 604, San Francisco County, California","1583","156"
"1400000US06075060502","Census Tract 605.02, San Francisco County, California","416","103"
"1400000US06075060700","Census Tract 607, San Francisco County, California","2,000+","***"
"1400000US06075061000","Census Tract 610, San Francisco County, California","2,000+","***"
"1400000US06075061100","Census Tract 611, San Francisco County, California","470","47"
"1400000US06075061200","Census Tract 612, San Francisco County, California","1108","192"
"1400000US06075061400","Census Tract 614, San Francisco County, California","2,000+","***"
"1400000US06075061500","Census Tract 615, San Francisco County, California","2,000+","***"
"1400000US06075980200","Census Tract 9802, San Francisco County, California","2,000+","***"
"1400000US06075980300","Census Tract 9803, San Francisco County, California","1569","336"
"1400000US06075980401","Census Tract 9804.01, San Francisco County, California","-","**"
"1400000US06075980501","Census Tract 9805.01, San Francisco County, California","421","157"
"1400000US06075980600","Census Tract 9806, San Francisco County, California","1181","486"
"1400000US06075980900","Census Tract 9809, San Francisco County, California","1563","1103"
"1400000US06075990100","Census Tract 9901, San Francisco County, California","-","**"
